question,option1,option2,option3,option4,correctAnswer
¿Cuál de las siguientes acciones ahorra más agua al lavar los platos?,Lavar los platos a mano con el grifo abierto,Usar un lavavajillas eficiente,Lavar los platos a mano en un recipiente con agua,Lavar los platos con una manguera,Usar un lavavajillas eficiente
¿Cuál es una forma efectiva de reducir el consumo de agua en el jardín?,Regar el césped al mediodía,Utilizar un sistema de riego por goteo,Regar todos los días,Usar una manguera sin boquilla,Utilizar un sistema de riego por goteo
¿Qué dispositivo ayuda a reducir el consumo de agua en el inodoro?,Un tanque de mayor capacidad,Un aireador de grifo,Un inodoro de bajo flujo,Una bomba de agua,Un inodoro de bajo flujo
¿Cuánto tiempo se recomienda para una ducha rápida para ahorrar agua?,20 minutos,15 minutos,10 minutos,5 minutos,5 minutos
¿Cómo afecta la deforestación al ciclo del agua?,Aumenta la evaporación,Disminuye la transpiración,Aumenta la infiltración,Disminuye la escorrentía,Disminuye la transpiración
¿Por qué es importante evitar la contaminación de fuentes de agua?,Para reducir el costo del agua embotellada,Para proteger la vida silvestre y los ecosistemas acuáticos,Para aumentar la evaporación,Para aumentar el caudal de los ríos,Para proteger la vida silvestre y los ecosistemas acuáticos
¿Qué tecnología permite reutilizar las aguas residuales tratadas?,Desalinización,Reciclaje de aguas grises,Sistemas de ósmosis inversa,Tanques de almacenamiento,Reciclaje de aguas grises
¿Cuál es una de las principales ventajas de la desalinización del agua de mar?,Reduce la cantidad de agua en los océanos,Proporciona una fuente constante de agua potable,Aumenta la salinidad del agua dulce,Reduce el consumo de energía,Proporciona una fuente constante de agua potable
¿Cuál es una práctica sostenible para el uso del agua en la agricultura?,Riego por aspersión durante todo el día,Cultivar plantas no nativas que requieren mucha agua,Implementar técnicas de captación de agua de lluvia,Arar los campos con frecuencia,Implementar técnicas de captación de agua de lluvia
¿Cuál de las siguientes es una estrategia eficaz para conservar agua en el sector hotelero?,Lavar las toallas y sábanas de los huéspedes todos los días.,Implementar programas de reutilización de toallas y sábanas.,Llenar las piscinas de los hoteles diariamente.,Mantener grifos y duchas con alta presión de agua.,Implementar programas de reutilización de toallas y sábanas.
¿Qué acción personal puede ayudar a reducir el desperdicio de agua?,Lavar el coche cada día,Reparar fugas de grifos y tuberías,Dejar el agua corriendo mientras se lava los dientes,Usar una manguera para barrer la acera,Reparar fugas de grifos y tuberías
¿Cuál es una manera efectiva de reducir el uso de agua al lavar ropa?,Lavar ropa todos los días,Usar solo cargas completas en la lavadora,Lavar cada prenda por separado,Lavar cada dos días la ropa,Usar solo cargas completas en la lavadora
¿Qué tipo de grifo ayuda a conservar más agua?,Grifo sin aireador,Grifo de alto flujo,Grifo con aireador de baja presión,Grifo con filtro de carbón,Grifo con aireador de baja presión
